Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
BW0001 ,3SC-1-001- Normal,,  C-001,3,10.00,1.00,10, No Tax, inclusive,3SC-1-001,,,,,,,,,,,,,no_image.png,standard
BW0002 ,3SC-1-001- Razor,,  C-001,3,6.00,1.00,10, No Tax, inclusive,3SC-1-001,,,,,,,,,,,,,no_image.png,standard
CB0001 ,C-75 x 40- 1.2mm- Black,,  C-001,5,5.00,1.00,10, No Tax, inclusive,SC-1-002,,,,,,,,,,,,,no_image.png,standard
CB0002 ,C-75 x 40- 1.5mm- Black,,  C-001,5,8.00,1.00,10, No Tax, inclusive,SC-1-002,,,,,,,,,,,,,no_image.png,standard
CB0003 ,C-75 x 40- 1.8mm- Black,,  C-001,5,1.00,1.00,10, No Tax, inclusive,SC-1-002,,,,,,,,,,,,,no_image.png,standard
CB0004 ,C-75x40- 2.5mm- Black,,  C-001,5,1.00,1.00,10, No Tax, inclusive,SC-1-002,,,,,,,,,,,,,no_image.png,standard
CB0005 ,C-100 x 50- 1.2mm- Black,,  C-001,5,1.00,1.00,10, No Tax, inclusive,SC-1-002,,,,,,,,,,,,,no_image.png,standard
CB0006 ,C-100 x 50- 1.5mm- Black,,  C-001,5,1.00,1.00,10, No Tax, inclusive,SC-1-002,,,,,,,,,,,,,no_image.png,standard
CB0007 ,C-100 x 50- 1.8mm- Black,,  C-001,5,1.00,1.00,10, No Tax, inclusive,SC-1-002,,,,,,,,,,,,,no_image.png,standard
CB0008 ,C-100x50- 2.0mm- Black,,  C-001,5,1.00,1.00,10, No Tax, inclusive,SC-1-002,,,,,,,,,,,,,no_image.png,standard
CB0009 ,C-100x50- 2.3mm- Black,,  C-001,5,1.00,1.00,10, No Tax, inclusive,SC-1-002,,,,,,,,,,,,,no_image.png,standard
CB0010 ,C-100x50- 2.8mm- Black,,  C-001,5,1.00,1.00,10, No Tax, inclusive,SC-1-002,,,,,,,,,,,,,no_image.png,standard
CB0011 ,C-125x50- 2.3mm- Black,,  C-001,5,1.00,1.00,10, No Tax, inclusive,SC-1-002,,,,,,,,,,,,,no_image.png,standard
