Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
PD-0001,Product Pich 1,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0002,Product Pich 2,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0003,Product Pich 3,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0004,Product Pich 4,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0005,Product Pich 5,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0006,Product Pich 6,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0007,Product Pich 7,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0008,Product Pich 8,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0009,Product Pich 9,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0010,Product Pich 10,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0011,Product Pich 11,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0012,Product Pich 12,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0013,Product Pich 13,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0014,Product Pich 14,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0015,Product Pich 15,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0016,Product Pich 16,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0017,Product Pich 17,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0018,Product Pich 18,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0019,Product Pich 19,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0020,Product Pich 20,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0021,Product Pich 21,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0022,Product Pich 22,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0023,Product Pich 23,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0024,Product Pich 24,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0025,Product Pich 25,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0026,Product Pich 26,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0027,Product Pich 27,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0028,Product Pich 28,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0029,Product Pich 29,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0030,Product Pich 30,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0031,Product Pich 31,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0032,Product Pich 32,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0033,Product Pich 33,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0034,Product Pich 34,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0035,Product Pich 35,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0036,Product Pich 36,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0037,Product Pich 37,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0038,Product Pich 38,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0039,Product Pich 39,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0040,Product Pich 40,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0041,Product Pich 41,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0042,Product Pich 42,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0043,Product Pich 43,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0044,Product Pich 44,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0045,Product Pich 45,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0046,Product Pich 46,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0047,Product Pich 47,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0048,Product Pich 48,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0049,Product Pich 49,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0050,Product Pich 50,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0051,Product Pich 51,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0052,Product Pich 52,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0053,Product Pich 53,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0054,Product Pich 54,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0055,Product Pich 55,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0056,Product Pich 56,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0057,Product Pich 57,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0058,Product Pich 58,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0059,Product Pich 59,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0060,Product Pich 60,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
PD-0061,Product Pich 61,,CAT-001,2,10,20,, No Tax,,,,,,,,,,,,,,,no_image.png,standard
